Date : 2024-12-07 12:21:34
Directory : c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0
Total : 79 files,  29159 codes, 335 comments, 1150 blanks, all 30644 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\reservas\EliminarReservas.js            | JavaScript |         61 |          8 |         17 |         86 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\reservas\InfoReserva.js                 | JavaScript |         81 |          5 |         18 |        104 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\reservas\ProductosReservas.js           | JavaScript |        156 |          9 |         28 |        193 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\setupTests.js                           | JavaScript |          1 |          4 |          1 |          6 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\tiendas\ConsultarHistoricoTiendas.js    | JavaScript |         77 |          5 |         22 |        104 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\tiendas\ConsultarTiendas.js             | JavaScript |        101 |          5 |         21 |        127 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\tiendas\CrearTiendas.js                 | JavaScript |        128 |          5 |         18 |        151 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\tiendas\EliminarHistoricoTienda.js      | JavaScript |         72 |          6 |         18 |         96 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\tiendas\EliminarTiendas.js              | JavaScript |         56 |          3 |         16 |         75 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\tiendas\ModificarTiendas.js             | JavaScript |        128 |          6 |         18 |        152 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\usuarios\ConsultarUsuarios.js           | JavaScript |         91 |          3 |         13 |        107 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\usuarios\CrearUsuarios.js               | JavaScript |        107 |          5 |         20 |        132 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\usuarios\EliminarUsuarios.js            | JavaScript |         67 |          6 |         16 |         89 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\usuarios\ModificarUsuarios.js           | JavaScript |        106 |          6 |         20 |        132 |
| Total                                                                                                          |            |     29,159 |        335 |      1,150 |     30,644 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
