"filename", "language", "Markdown", "JavaScript", "CSS", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\tests\historico.test.js", "JavaScript", 0, 25, 0, 0, 0, 6, 14, 45
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\tests\login.test.js", "JavaScript", 0, 34, 0, 0, 0, 2, 16, 52
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\tests\reservas.test.js", "JavaScript", 0, 90, 0, 0, 0, 12, 59, 161
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\tests\tienda.test.js", "JavaScript", 0, 100, 0, 0, 0, 10, 31, 141
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\tests\usuario.test.js", "JavaScript", 0, 90, 0, 0, 0, 10, 37, 137
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\README.md", "Markdown", 38, 0, 0, 0, 0, 0, 33, 71
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\package-lock.json", "JSON", 0, 0, 0, 19844, 0, 0, 1, 19845
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\package.json", "JSON", 0, 0, 0, 39, 0, 0, 1, 40
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\public\index.html", "HTML", 0, 0, 0, 0, 22, 23, 3, 48
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\App.css", "CSS", 0, 0, 5, 0, 0, 1, 3, 9
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\App.js", "JavaScript", 0, 83, 0, 0, 0, 0, 24, 107
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\cargarProductos\CambiarEstadoReserva.js", "JavaScript", 0, 73, 0, 0, 0, 7, 18, 98
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\cargarProductos\ConsultarReservas.js", "JavaScript", 0, 128, 0, 0, 0, 8, 22, 158
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\cargarProductos\IngresarSegregado.js", "JavaScript", 0, 155, 0, 0, 0, 12, 41, 208
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\cargarProductos\RegistrarMarcado.js", "JavaScript", 0, 155, 0, 0, 0, 12, 39, 206
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\cargarProductos\ValidarReserva.js", "JavaScript", 0, 81, 0, 0, 0, 8, 21, 110
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\componentes\BarraDeNavegacion.js", "JavaScript", 0, 83, 0, 0, 0, 0, 12, 95
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\componentes\Certificaciones.js", "JavaScript", 0, 15, 0, 0, 0, 1, 3, 19
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\componentes\Login.js", "JavaScript", 0, 66, 0, 0, 0, 6, 19, 91
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\componentes\MensajeIngresoDatos.js", "JavaScript", 0, 16, 0, 0, 0, 0, 5, 21
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\front\src\componentes\PaginaPrincipal.js", "JavaScript", 0, 86, 0, 0, 0, 1, 6, 93
